,NOM_ENT,DISTRITO,VPH_CEL,VPH_EXCSA,PSINDER,HOGJEF_F,P15YM_ANSEIN,CIRCUNSCRIPCIONES
277,Veracruz de Ignacio de la Llave,14,77.69890267,94.38327807,30.06519065,33.067397,34.44784152,3
278,Veracruz de Ignacio de la Llave,15,81.27147766,87.94866736,26.50407647,33.65642316,28.28074848,3
279,Veracruz de Ignacio de la Llave,16,86.2608597,95.1107041,31.77561848,35.27538252,22.69948444,3
280,Veracruz de Ignacio de la Llave,17,80.68400691,93.69742366,32.85812825,35.12058606,39.78194303,3
281,Veracruz de Ignacio de la Llave,18,69.26913232,58.79601024,22.77416546,29.19498632,47.84448602,3
282,Veracruz de Ignacio de la Llave,19,79.36307921,86.66426649,30.27904614,34.48896599,43.82340861,3
283,Veracruz de Ignacio de la Llave,2,61.08125696,37.22280835,19.72437838,25.31083919,49.19898692,3
284,Veracruz de Ignacio de la Llave,20,80.20198654,91.94751206,26.69249543,32.09174283,36.48544512,3
285,Veracruz de Ignacio de la Llave,3,82.0673895,77.51869732,29.75570372,30.38660916,24.36717293,3
286,Veracruz de Ignacio de la Llave,4,94.12991252,99.11220188,28.28924597,39.25673619,11.93038223,3
287,Veracruz de Ignacio de la Llave,5,87.93920592,90.99406813,28.32724795,37.88109987,17.77207416,3
288,Veracruz de Ignacio de la Llave,6,75.77564471,75.83668775,27.46048577,30.79842527,39.78689723,3
289,Veracruz de Ignacio de la Llave,7,80.54961442,89.76950279,29.40101197,32.01653104,35.43034523,3
290,Veracruz de Ignacio de la Llave,8,82.0909464,95.21137325,24.06974638,32.06476358,31.40164146,3
291,Veracruz de Ignacio de la Llave,9,79.46586568,90.13584762,27.05098115,32.11248945,32.55244154,3
292,Yucatán,1,77.87330275,84.81336007,20.51968176,28.47895551,38.07809581,3
293,Yucatán,2,88.6828114,91.83134085,24.5743314,29.64442669,24.3296183,3
294,Yucatán,3,94.45250015,98.13071235,23.32805594,35.34456174,12.11113414,3
295,Yucatán,4,95.52299336,98.97083364,20.97668473,35.58867917,8.477566902,3
296,Yucatán,5,79.67018743,85.59766663,18.99804534,28.13934624,34.92121759,3
297,Zacatecas,1,84.42343619,95.21587698,21.75936079,26.03103672,17.73587172,2
298,Zacatecas,2,81.56811962,95.57502618,22.10832293,28.02207895,25.24415262,2
299,Zacatecas,3,84.00120462,95.94571703,19.22947281,27.85296166,17.05388575,2
300,Zacatecas,4,86.65057372,94.2057141,17.70850462,29.12519427,16.22902114,2
